X,Y
-75.06428138,40.00140534
-75.05428138,40.00140534
-75.04428138,40.00140534
-75.03428138,40.00140534
-74.12428138,40.00140534
-74.11428138,40.00140534
-74.10428138,40.00140534
-74.06428138,40.00140534
-74.04428138,40.00140534
-75.08428138,39.99140534
-75.07428138,39.99140534
-75.06428138,39.99140534
-75.05428138,39.99140534
-75.04428138,39.99140534
-74.12428138,39.99140534
-74.06428138,39.99140534
-74.05428138,39.99140534
-74.04428138,39.99140534
-75.11428138,39.98140534
-75.10428138,39.98140534
-75.09428138,39.98140534
-75.08428138,39.98140534
-75.06428138,39.98140534
-75.05428138,39.98140534
-74.12428138,39.98140534
-74.11428138,39.98140534
-74.10428138,39.98140534
-74.07428138,39.98140534
-74.06428138,39.98140534
-74.05428138,39.98140534
-75.12428138,39.97140534
-75.11428138,39.97140534
-75.06428138,39.97140534
-74.10428138,39.97140534
-74.07428138,39.97140534
-74.05428138,39.97140534
-75.13428138,39.96140534
-75.12428138,39.96140534
-75.09428138,39.96140534
-75.08428138,39.96140534
-75.07428138,39.96140534
-75.06428138,39.96140534
-74.10428138,39.96140534
-74.07428138,39.96140534
-74.05428138,39.96140534
-75.13428138,39.95140534
-75.11428138,39.95140534
-75.10428138,39.95140534
-75.09428138,39.95140534
-75.08428138,39.95140534
-75.07428138,39.95140534
-74.11428138,39.95140534
-74.10428138,39.95140534
-74.07428138,39.95140534
-74.06428138,39.95140534
-74.05428138,39.95140534
-75.13428138,39.94140534
-75.12428138,39.94140534
-75.11428138,39.94140534
-74.13428138,39.94140534
-74.12428138,39.94140534
-74.11428138,39.94140534
-74.07428138,39.94140534
-74.06428138,39.94140534
-75.13428138,39.93140534
-75.11428138,39.93140534
-74.13428138,39.93140534
-74.12428138,39.93140534
-74.11428138,39.93140534
-74.08428138,39.93140534
-74.07428138,39.93140534
-74.06428138,39.93140534
-75.13428138,39.92140534
-75.11428138,39.92140534
-75.10428138,39.92140534
-74.11428138,39.92140534
-74.08428138,39.92140534
-74.06428138,39.92140534
-75.14428138,39.91140534
-75.13428138,39.91140534
-75.10428138,39.91140534
-75.09428138,39.91140534
-74.12428138,39.91140534
-74.11428138,39.91140534
-74.08428138,39.91140534
-74.06428138,39.91140534
-75.17428138,39.90140534
-75.16428138,39.90140534
-75.15428138,39.90140534
-75.14428138,39.90140534
-75.11428138,39.90140534
-75.10428138,39.90140534
-75.09428138,39.90140534
-74.13428138,39.90140534
-74.12428138,39.90140534
-74.08428138,39.90140534
-74.06428138,39.90140534
-75.20428138,39.89140534
-75.19428138,39.89140534
-75.18428138,39.89140534
-75.17428138,39.89140534
-75.12428138,39.89140534
-75.11428138,39.89140534
-74.13428138,39.89140534
-74.08428138,39.89140534
-74.07428138,39.89140534
-74.06428138,39.89140534
-75.22428138,39.88140534
-75.21428138,39.88140534
-75.20428138,39.88140534
-75.16428138,39.88140534
-75.15428138,39.88140534
-75.14428138,39.88140534
-75.13428138,39.88140534
-75.12428138,39.88140534
-74.13428138,39.88140534
-74.08428138,39.88140534
-74.07428138,39.88140534
-75.31428138,39.87140534
-75.30428138,39.87140534
-75.29428138,39.87140534
-75.28428138,39.87140534
-75.25428138,39.87140534
-75.24428138,39.87140534
-75.23428138,39.87140534
-75.22428138,39.87140534
-75.19428138,39.87140534
-75.18428138,39.87140534
-75.17428138,39.87140534
-75.16428138,39.87140534
-75.15428138,39.87140534
-75.14428138,39.87140534
-74.13428138,39.87140534
-74.08428138,39.87140534
-74.07428138,39.87140534
-75.33428138,39.86140534
-75.32428138,39.86140534
-75.31428138,39.86140534
-75.28428138,39.86140534
-75.27428138,39.86140534
-75.26428138,39.86140534
-75.25428138,39.86140534
-75.22428138,39.86140534
-75.21428138,39.86140534
-75.20428138,39.86140534
-75.19428138,39.86140534
-74.13428138,39.86140534
-74.12428138,39.86140534
-74.09428138,39.86140534
-74.08428138,39.86140534
-74.07428138,39.86140534
